url	download_complete
ngs.ics.uci.edu/creativity-and-creativeit/feed	complete
cbcl.ics.uci.edu/wgEncodeBroadHistoneHmecH3k27acStdAlnRep1.REF_chr19.bam	complete
ngs.ics.uci.edu/tag/cyber	complete
flamingo.ics.uci.edu/docs/PartEnumDoc.html	complete
wics.ics.uci.edu/events/2018-02-21?ical=1/	complete
www.ics.uci.edu/publications/r215.html	complete
www.ics.uci.edu/genealogy	complete
sli.ics.uci.edu/PmWiki/UploadVariables?action=login	complete
wics.ics.uci.edu/xmlrpc.php?rsd	complete
www.ics.uci.edu/%7Erjuang	complete
cbcl.ics.uci.edu/public_data/SREBP1/raw_data	complete
www.ics.uci.edu/employ_faculty.php	complete
cbcl.ics.uci.edu/doku.php/contact?do=resendpwd	complete
www.ics.uci.edu/~dechter/publications/r38.html	complete
www.ics.uci.edu/~dvk/GDF	complete
sli.ics.uci.edu/Classes/2016S-274b?action=download&upname=BayesNet.pdf	complete
sdcl.ics.uci.edu/author/andre/page/9	complete
sdcl.ics.uci.edu/author/andre/page/6	complete
sdcl.ics.uci.edu/author/andre/page/7	complete
sdcl.ics.uci.edu/author/andre/page/4	complete
cml.ics.uci.edu/2007/01/2007_jainbestpaper	complete
sdcl.ics.uci.edu/author/andre/page/2	complete
sdcl.ics.uci.edu/author/andre/page/3	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fapple-becoming-more-multimedia%2F&format=xml	complete
ngs.ics.uci.edu/important-factors-for-india	complete
www.ics.uci.edu/calewis	complete
www.ics.uci.edu/computing/account/faqs.php	complete
cloudberry.ics.uci.edu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fcloudberry.ics.uci.edu%2Fcloudberry-at-acm-sigspatial-2016%2F	complete
sli.ics.uci.edu/Classes/2010W-178?action=download&upname=178_L10.pdf	complete
swiki.ics.uci.edu/doku.php/projects:maint-winter-2019	complete
wics.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwics.ics.uci.edu%2Fwics-spring-quarter-week-7-women-in-tech-panel-with-sendgrid%2F	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fmobile-money-or-power-of-mobile-phones-to-transform%2F	complete
sherlock.ics.uci.edu/people.html	complete
cml.ics.uci.edu/2012/07/2012_icmlbestpaper/feed	complete
www.ics.uci.edu/realestate.R	complete
www.ics.uci.edu/spotlight_mingkow.php	complete
jgarcia.ics.uci.edu?feed=rss2&p=416	complete
wics.ics.uci.edu/wics-week-0-meet-and-greet?afg4_page_id=3	complete
wics.ics.uci.edu/wics-week-0-meet-and-greet?afg4_page_id=2	complete
wics.ics.uci.edu/wics-week-0-meet-and-greet?afg4_page_id=1	complete
emj.ics.uci.edu?p=77	complete
wics.ics.uci.edu/wics-spring-quarter-week-7-women-in-tech-panel-with-sendgrid	complete
ngs.ics.uci.edu/contextual-circles/feed	complete
www.ics.uci.edu/~kkask/Fall-2013 CS271/index.html	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2013%2F08%2F2013_anima%2F	complete
duttgroup.ics.uci.edu/2018/11/08/chenying-hsiehs-paper-got-accepted-in-date19-titled-the-case-for-exploiting-underutilized-resources-in-heterogeneous-mobile-architectures/feed	complete
duttgroup.ics.uci.edu/publications?limit=7&	complete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=plos09.pdf	complete
www.ics.uci.edu/prospective/en/uci/student-services	complete
www.ics.uci.edu/~huw5	incomplete
mhcid.ics.uci.edu/program/events/career-conference	complete
wics.ics.uci.edu/fall-quarter-2016-week-6-facebook-diversity-panel	complete
wics.ics.uci.edu/aspireit-2017?share=google-plus-1	complete
cml.ics.uci.edu/2014/03/spring-2014	complete
cloudberry.ics.uci.edu/hello-world	complete
wics.ics.uci.edu/studying-with-wics-2?share=facebook	complete
sli.ics.uci.edu/PmWiki/PageLists	incomplete
www.ics.uci.edu/publications/r167.html	complete
ngs.ics.uci.edu/towards-natural-interfaces/feed	complete
cbcl.ics.uci.edu/doku.php?id=publications&do=revisions	complete
honors.ics.uci.edu?p=2	complete
cml.ics.uci.edu/books	complete
sli.ics.uci.edu/Classes/2012S-274b?action=download&upname=CS274b-L04.pdf	complete
ngs.ics.uci.edu/a9-scaling-back-key-features/feed	complete
cbcl.ics.uci.edu/wgEncodeBroadHistoneHsmmH4k20me1StdAlnRep1.REF_chr19.bam	complete
sdcl.ics.uci.edu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsdcl.ics.uci.edu%2F2011%2F11%2Fseworld-sdcl%2F&format=xml	complete
sli.ics.uci.edu/Projects/DataMining	complete
wics.ics.uci.edu/winter-quarter-2017-week-4-crime-and-mystery-game-night	complete
sli.ics.uci.edu/Site/GroupAttributes?action=login	complete
sli.ics.uci.edu/Classes/CSE181?action=download&upname=2009Expo_062.jpg	complete
www.ics.uci.edu/~dechter/courses/ics-276/spring-19	complete
www.ics.uci.edu/index_files/colorschememapping.xml	complete
sdcl.ics.uci.edu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsdcl.ics.uci.edu%2F2018%2F07%2Fmarian-petre-in-collaboration-with-sdcl%2F	complete
www.ics.uci.edu/overview.htm	complete
ngs.ics.uci.edu/spreading-joy	complete
flamingo.ics.uci.edu/4.0	complete
flamingo.ics.uci.edu/4.1	complete
cml.ics.uci.edu?p=71	complete
www.ics.uci.edu/~ihler/pubs.html	complete
ngs.ics.uci.edu/blog/www.bitemyphoto.com	complete
www.ics.uci.edu/~dgillen	complete
swiki.ics.uci.edu/lib/exe/css.php?t=arctic-swiki&tseed=03c24709ddc349062e7e64438995277e	complete
i-sensorium.ics.uci.edu/partnerships.html	complete
www.ics.uci.edu/~stasio/Papers/jsy04-abs.html	complete
wics.ics.uci.edu/wics-hosts-a-toy-hacking-workshop-with-dr-garnet-hertz?share=facebook	complete
wics.ics.uci.edu/exploreics?afg86_page_id=1	complete
wics.ics.uci.edu/exploreics?afg86_page_id=2	complete
wics.ics.uci.edu/exploreics?afg86_page_id=3	complete
duttgroup.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fduttgroup.ics.uci.edu%2Fprojects%2Fhealth-care-iot%2Fmaternity-care%2F	complete
ngs.ics.uci.edu/busy-time	complete
www.ics.uci.edu/Jan23rd_Databases.txt	complete
sdcl.ics.uci.edu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsdcl.ics.uci.edu%2F2015%2F11%2Fsdcl-at-ase-2015%2F	complete
www.ics.uci.edu/publications/r170.html	complete
www.ics.uci.edu/~wjohnson/BIDA/Ch13/leukemia.txt	complete
duttgroup.ics.uci.edu?p=1021	complete
www.ics.uci.edu/~wjohnson/BIDA/Ch9/Model3.txt	incomplete
www.ics.uci.edu/~dvk/pub/ICDE09_dvk_demo.html	complete
ngs.ics.uci.edu/suffering-fools/feed	complete
www.ics.uci.edu/publications/r62a.html	complete
www.ics.uci.edu/~dechter/publications/r180.html	complete
www.ics.uci.edu/publications/r56.html	complete
wics.ics.uci.edu/events/2017-10-10?ical=1/	complete
cml.ics.uci.edu/2015/05/center-member-and-ics-dean-hal-stern-to-help-lead-national-effort-to-improve-criminal-evidence-analysis-cut-wrongful-convictions	complete
ngs.ics.uci.edu/smartweb-presentation-at-acmmm07/feed	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2018%2F03%2Fworkshop-for-the-philosophy-of-machine-learning%2F&format=xml	complete
swiki.ics.uci.edu/doku.php/brownbags?do=backlink	complete
cbcl.ics.uci.edu/md5sum.txt	complete
sli.ics.uci.edu/Category/Category?action=login	complete
sconce.ics.uci.edu/sucses/related_links.htm	complete
dynamo.ics.uci.edu/docs.html	complete
www.ics.uci.edu/degree_cse.php	complete
sli.ics.uci.edu/Classes/CSE181?action=download&upname=2009Expo_026.jpg	complete
sli.ics.uci.edu/Classes/2014S-274b?action=download&upname=HW4s.pdf	complete
wics.ics.uci.edu/wics-mentorship-program?share=twitter	complete
www.ics.uci.edu/Concurrent_Enrollment.php	complete
wics.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwics.ics.uci.edu%2Fwics-hosts-a-toy-hacking-workshop-with-dr-garnet-hertz%2F&format=xml	complete
cbcl.ics.uci.edu/wgEncodeBroadHistoneNhlfH3k4me2StdAlnRep1.REF_chr19.bam	complete
duttgroup.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fduttgroup.ics.uci.edu%2F2018%2F11%2F09%2Fprofessor-dutts-birthday%2F	complete
sli.ics.uci.edu/PmWiki/Categories	complete
www.ics.uci.edu/community/events/gameday	complete
ngs.ics.uci.edu/from-calendars-to-chronicles-3/feed	complete
swiki.ics.uci.edu/doku.php/services:webmail?do=login&sectok=	complete
sli.ics.uci.edu/Classes/2015F-179?action=download&upname=L03a-Probability.pdf	complete
ngs.ics.uci.edu/ancient-rome-born-in-3d/feed	complete
sli.ics.uci.edu/PmWiki/SpecialCharacters	complete
www.ics.uci.edu/spotlight_pasricha.php	complete
ngs.ics.uci.edu/environment-to-environment-e2e-communication/feed	complete
ngs.ics.uci.edu?p=1731	complete
wics.ics.uci.edu/spring-quarter-2017-week-3-riot-tour?share=google-plus-1	complete
ngs.ics.uci.edu?p=1734	complete
www.ics.uci.edu/grad/admissions	complete
cloudberry.ics.uci.edu	complete
sdcl.ics.uci.edu//s.w.org	complete
wics.ics.uci.edu?p=2767	complete
wics.ics.uci.edu?p=2761	complete
jgarcia.ics.uci.edu?p=295	complete
ngs.ics.uci.edu/pictureal-producing-home-videos	complete
ngs.ics.uci.edu/extreme-stories-12	complete
ngs.ics.uci.edu/extreme-stories-11	complete
ngs.ics.uci.edu/extreme-stories-10	complete
ngs.ics.uci.edu/tag/contextual-circles	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2013%2F03%2Fspring-2013-2%2F	complete
sdcl.ics.uci.edu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsdcl.ics.uci.edu%2F2012%2F09%2Fsdcl-has-moved%2F	complete
transformativeplay.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftransformativeplay.ics.uci.edu%2Fclasses%2Fics-169-capstone%2F	complete
tutors.ics.uci.edu/index.php/tutor-resources/81-cpp-resources/101-cpp-exercises	complete
www.ics.uci.edu/notes_2010.php	complete
duttgroup.ics.uci.edu/projects/health-care-iot	complete
www.ics.uci.edu/~tlatoza	complete
www.ics.uci.edu/sao/Course_updates.php	complete
seal.ics.uci.edu/projects/resist/index.html	complete
www.ics.uci.edu/publications/r226.html	complete
cbcl.ics.uci.edu/wgEncodeBroadHistoneK562H3k4me1StdAlnRep2.REF_chr19.bam	complete
honors.ics.uci.edu/xmlrpc.php	complete
dynamo.ics.uci.edu/lib_dynamo_middleware_8h.html	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2Fhome%2Fabout-us%2F&format=xml	complete
wics.ics.uci.edu?p=192	complete
swiki.ics.uci.edu/doku.php/start?tab_files=upload&do=media&ns=hardware%3Acluster	complete
cradl.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcradl.ics.uci.edu%2Fpeople%2Fwerner-beuschel-visiting-prof-researcher%2F	complete
grape.ics.uci.edu/wiki/asterix/timeline?from=2018-01-07T20%3A48%3A24-08%3A00&precision=second	complete
www.ics.uci.edu/~dechter/publications/r71.html	complete
www.ics.uci.edu/~wjohnson/BIDA/Ch7/Ch7Rcode.txt	complete
wics.ics.uci.edu?p=2373	complete
wics.ics.uci.edu?p=2371	complete
wics.ics.uci.edu?p=2375	complete
cbcl.ics.uci.edu/wgEncodeBroadHistoneHuvecH3k9acStdAlnRep1.REF_chr19.bam	complete
ngs.ics.uci.edu/knowledge-science	complete
www.ics.uci.edu/publications/r164.html	complete
sdcl.ics.uci.edu?p=1831	complete
computableplant.ics.uci.edu/papers/XXX	complete
wics.ics.uci.edu/event/anteater-involvement-fair/feed	complete
sli.ics.uci.edu/Classes/2013-iCamp?action=login	complete
wics.ics.uci.edu/wp-json/tribe/events/v1/events/2701	complete
wics.ics.uci.edu/wp-json/tribe/events/v1/events/2703	complete
cbcl.ics.uci.edu/wgEncodeBroadHistoneHsmmtH3k79me2StdAlnRep1.REF_chr19.bam	complete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=nips04.ps	complete
cradl.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcradl.ics.uci.edu%2Fglobally-distributed-system-developers-their-trust-expectations-and-processes-published-at-cscw-2013%2F&format=xml	complete
sli.ics.uci.edu/Classes/2009S?action=login	complete
www.ics.uci.edu/~wjohnson/BIDA/Ch9/DiasorinData.txt	complete
www.ics.uci.edu/~yamingy/npmle.r	complete
www.ics.uci.edu/research	complete
ngs.ics.uci.edu/married-couples-outnumbered-in-usa/feed	complete
ngs.ics.uci.edu/tag/contextual-circles/feed	complete
sdcl.ics.uci.edu?p=2335	complete
sli.ics.uci.edu/Site/HtPasswd	complete
wics.ics.uci.edu/week-8-thanksgiving-potluck?afg14_page_id=1	complete
wics.ics.uci.edu/week-8-thanksgiving-potluck?afg14_page_id=2	complete
ngs.ics.uci.edu/extreme-stories-10/feed	complete
sherlock.ics.uci.edu/code.html	complete
grape.ics.uci.edu/wiki/asterix/wiki/stats170ab-2018?version=119	complete
www.ics.uci.edu/teaching	complete
grape.ics.uci.edu/wiki/asterix/wiki/stats170ab-2018?version=112	complete
grape.ics.uci.edu/wiki/asterix/wiki/stats170ab-2018?version=113	complete
grape.ics.uci.edu/wiki/asterix/wiki/stats170ab-2018?version=110	complete
grape.ics.uci.edu/wiki/asterix/wiki/stats170ab-2018?version=111	complete
grape.ics.uci.edu/wiki/asterix/wiki/stats170ab-2018?version=116	complete
grape.ics.uci.edu/wiki/asterix/wiki/stats170ab-2018?version=117	complete
grape.ics.uci.edu/wiki/asterix/wiki/stats170ab-2018?version=114	complete
grape.ics.uci.edu/wiki/asterix/wiki/stats170ab-2018?version=115	complete
sli.ics.uci.edu/Projects/Sensor	complete
www.ics.uci.edu/research01.html	complete
sdcl.ics.uci.edu/2015/06/welcome-gabriel	complete
sli.ics.uci.edu/PmWiki/Installation	complete
ngs.ics.uci.edu/automatic-summarization-of-personal-photo-collections-pinaki-sinhas-thesis	complete
tutors.ics.uci.edu/index.php/79-python-resources/117-nested-lists	complete
computableplant.ics.uci.edu/papers/2005/CVPR-2005-Abstract.html	complete
dynamo.ics.uci.edu/demo.html	complete
cml.ics.uci.edu/2010/05/2010_lixieintel	complete
jgarcia.ics.uci.edu/xmlrpc.php?rsd	complete
www.ics.uci.edu/faq.php	complete
cert.ics.uci.edu/index.html	complete
wics.ics.uci.edu/wics-2018-bytes-of-code?afg87_page_id=2	complete
wics.ics.uci.edu/wics-week-0-meet-and-greet	complete
mondego.ics.uci.edu/files	complete
sdcl.ics.uci.edu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsdcl.ics.uci.edu%2Fpapers%2Fdissertations%2F&format=xml	complete
duttgroup.ics.uci.edu/2017/12/05/imans-goodbye-lunch/img_0214/feed	complete
www.ics.uci.edu/about_officers.html	complete
www.ics.uci.edu/publications/r52.html	complete
flamingo.ics.uci.edu/docs/SepiaDoc.html	complete
duttgroup.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fduttgroup.ics.uci.edu%2Fprojects%2Fself-aware-adaptive-computing%2Fmars%2F	complete
sli.ics.uci.edu/Classes/2011W-178?action=download&upname=CS178_L01.pdf	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fprofessionalsocial%2Frecognitions%2F	complete
honors.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhonors.ics.uci.edu%2Fcontact-us%2F&format=xml	complete
sdcl.ics.uci.edu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsdcl.ics.uci.edu%2F2013%2F04%2Fjane-cleland-huang-visit%2F	complete
ngs.ics.uci.edu/third-world-first/feed	complete
sli.ics.uci.edu/Ihler-Private/Charges?action=login	complete
isg.ics.uci.edu	complete
ngs.ics.uci.edu/you-know-it-but-it-still-hurts	complete
sli.ics.uci.edu/PmWiki/Search?action=login	complete
www.ics.uci.edu/shortbio.html	complete
sli.ics.uci.edu/Site	complete
transformativeplay.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftransformativeplay.ics.uci.edu%2Fjesse-collin-jackson%2F	complete
wics.ics.uci.edu/events/2019-01-16?ical=1/	complete
transformativeplay.ics.uci.edu?p=70	complete
www.ics.uci.edu/grad/funding/index	complete
sdcl.ics.uci.edu/author/andre/page/8	complete
ngs.ics.uci.edu/rip-my-four-legged-son/feed	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2006%2F03%2F2006_muriaward%2F	complete
mhcid.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmhcid.ics.uci.edu%2Fpeople%2Fcurrent-students%2F&format=xml	complete
sli.ics.uci.edu/Classes/2009S?action=download&upname=HW3.pdf	complete
sprout.ics.uci.edu/publication.html	complete
www.ics.uci.edu/%7Emagda/cs620/outlineOG.html	complete
cbcl.ics.uci.edu/doku.php?id=data	complete
sdcl.ics.uci.edu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsdcl.ics.uci.edu%2F2013%2F05%2Fisr-research-forum-2%2F	complete
www.ics.uci.edu/ugrad/admissions/transfer/index.php	complete
www.ics.uci.edu/~stasio/fall04/reading.html	complete
ngs.ics.uci.edu/end-of-dvd/feed	complete
cml.ics.uci.edu/2018/09/fall-2018/feed	complete
ngs.ics.uci.edu/google-phone-a-step-towards-folk-computing/feed	complete
www.ics.uci.edu/~ucounsel/continuing_students/cheat.html	complete
www.ics.uci.edu/~xhx/publications/journal.pone.0006799.pdf"	complete
sli.ics.uci.edu/Classes-2008F/Main?action=download&upname=forsyth.pdf	complete
ngs.ics.uci.edu/on-hiring-an-australian-to-become-an-indian/feed	complete
wics.ics.uci.edu/wics-spring-quarter-week-8-amazon-alexa-skill-workshop?share=google-plus-1	complete
mhcid.ics.uci.edu/program/curriculum	complete
www.ics.uci.edu/activate.php	complete
archive.ics.uci.edu/about.html	complete
www.ics.uci.edu/GradPolicies_ResidencyReqt.php	complete
www.ics.uci.edu/spotlight_sambasivan.php	complete
www-db.ics.uci.edu	complete
ngs.ics.uci.edu?p=846	complete
sli.ics.uci.edu/Classes/2011S-274a?action=download&upname=CS274a_L22.pdf	complete
ngs.ics.uci.edu?p=841	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2007%2F01%2F2007_jainbestpaper%2F	complete
wics.ics.uci.edu/events/2018-01-18	complete
www.ics.uci.edu/community/news/view_news.php?id=1432	complete
computableplant.ics.uci.edu/theses/guy/Plenum.html	complete
wics.ics.uci.edu/events/2018-01-14	complete
wics.ics.uci.edu/events/2018-01-15	complete
ngs.ics.uci.edu/tag/experiential	complete
wics.ics.uci.edu/events/2018-01-17	complete
wics.ics.uci.edu/events/2018-01-10	complete
ngs.ics.uci.edu/visual-search/feed	complete
wics.ics.uci.edu/events/2018-01-12	complete
wics.ics.uci.edu/events/2018-01-13	complete
swiki.ics.uci.edu/doku.php/start?do=export_raw	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fresearch%2Fbooks%2F&format=xml	complete
duttgroup.ics.uci.edu/projects/health-care-iot/maternity-care	complete
sli.ics.uci.edu/Classes/2010W-178?action=download&upname=Data-HW4.zip	complete
ngs.ics.uci.edu/tag/computervision-multimedia	complete
wics.ics.uci.edu/fall-quarter-2017-week-0-wics-social/feed	complete
duttgroup.ics.uci.edu/2018/05/01/drg-spring-18-bbq	complete
www.ics.uci.edu/bio	complete
ngs.ics.uci.edu?p=1128	complete
ngs.ics.uci.edu?p=1120	complete
cbcl.ics.uci.edu/wgEncodeBroadHistoneHsmmtH3k9acStdAlnRep1.REF_chr19.bam	complete
cradl.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcradl.ics.uci.edu%2Fcradl-at-chase-2012-workshop-icse-zurich-switzerland%2F	complete
ngs.ics.uci.edu/a-japanese-view-on-the-japneses-crisis	complete
swiki.ics.uci.edu/doku.php/brownbags	complete
wics.ics.uci.edu/annual-mentorship-program-2013	complete
www.ics.uci.edu/gallery/gallery_14_jpg.php	complete
mcs.ics.uci.edu?p=905	complete
sli.ics.uci.edu/PmWiki/WebFeeds	complete
www.ics.uci.edu/spotlight_hanratty.php	complete
ngs.ics.uci.edu/dave-lehman	incomplete
ngs.ics.uci.edu/tag/experiential-data	complete
www.ics.uci.edu/~dvk/pub/SDM05_dvk.html	complete
ngs.ics.uci.edu/knowledge-science-4/feed	complete
www.ics.uci.edu/publications/r145.html	complete
wics.ics.uci.edu/women-empowering-women-lunch-2018?share=google-plus-1	complete
www.ics.uci.edu/class	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2017%2F10%2Ffall-2017%2F&format=xml	complete
wics.ics.uci.edu?p=2687	complete
cbcl.ics.uci.edu/wgEncodeBroadHistoneNhekH3k27me3StdAlnRep3.REF_chr19.bam	complete
swiki.ics.uci.edu/doku.php/projects:maint-winter-2019?idx=projects	complete
cml.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcml.ics.uci.edu%2F2018%2F10%2Ffaculty-positions-at-uc-irvine%2F&format=xml	complete
www.ics.uci.edu/~lab/students	complete
www.ics.uci.edu/corporate_partner.php	complete
www.ics.uci.edu/~amezasor	complete
wics.ics.uci.edu/events/2018-05-01?ical=1/	complete
sli.ics.uci.edu/Classes/2011W-178?action=login	complete
futurehealth.ics.uci.edu?p=81	complete
sli.ics.uci.edu/Projects/Vision?action=login	complete
ngs.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fngs.ics.uci.edu%2Fresearch%2Fresearch-papers%2F	complete
www.ics.uci.edu/~dvk	complete
sli.ics.uci.edu/Site/Search	complete
wics.ics.uci.edu	complete
computableplant.ics.uci.edu/index-project.html	complete
www.ics.uci.edu/~perl/publication/losing_control	complete
cbcl.ics.uci.edu/feed.php	complete
wics.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwics.ics.uci.edu%2Fwinter-quarter-2017-week-4-crime-and-mystery-game-night%2F&format=xml	complete
sli.ics.uci.edu/PmWiki/Internationalizations?action=login	complete
webmail.ics.uci.edu	complete
futurehealth.ics.uci.edu/resources/videos	complete
ngs.ics.uci.edu/milkshake-drunk-researcher-and-problem-solving	complete
wics.ics.uci.edu/cia-info-session-with-wics	complete
cbcl.ics.uci.edu/wgEncodeBroadHistoneHepg2H2azStdAlnRep1.REF_chr19.bam	complete
cml.ics.uci.edu/2008/09/2008_speakerseries0809	complete
sli.ics.uci.edu/Site/AuthForm?action=login	complete
cbcl.ics.uci.edu/wgEncodeBroadHistoneGm12878H3k27me3StdAlnRep2.REF_chr19.bam	complete
ngs.ics.uci.edu/tag/visual-web	incomplete
www.ics.uci.edu/visit_fromjwa.php	complete
wics.ics.uci.edu/wics-attends-gracehopper-conference-2016	incomplete
sdcl.ics.uci.edu/2018/07/marian-petre-in-collaboration-with-sdcl	complete
wics.ics.uci.edu/wp-json/tribe/events/v1/events/2573	complete
cradl.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcradl.ics.uci.edu%2Fcradl-at-chase-2012-workshop-icse-zurich-switzerland%2Fphoto%2F	complete
sli.ics.uci.edu/Classes/2016S-274b?action=download&upname=EM.pdf	complete
sli.ics.uci.edu/Classes/2012W-178?action=download&upname=L06.pdf	complete
grape.ics.uci.edu/wiki/asterix/timeline?from=2018-02-05T13%3A41%3A43-08%3A00&precision=second	complete
transformativeplay.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftransformativeplay.ics.uci.edu%2Fdaniel-gardner%2F&format=xml	complete
ngs.ics.uci.edu/tag/semantic-gap/feed	complete
www.ics.uci.edu/community/news/view_news.php?id=1377	complete
www.ics.uci.edu/community/news/view_news.php?id=1376	complete
www.ics.uci.edu/community/news/view_news.php?id=1375	complete
www.ics.uci.edu/community/news/view_news.php?id=1374	complete
www.ics.uci.edu/~dvk/pub/TKDE08_dvk_SAT.html	complete
www.ics.uci.edu/~sternh	complete
sli.ics.uci.edu/Classes/2012W-178?action=download&upname=cs178-m10soln.pdf	complete
www.ics.uci.edu/sua	complete
wics.ics.uci.edu/events/2017-10-26?ical=1/	complete
www.ics.uci.edu/publications/r218a.html	complete
futurehealth.ics.uci.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffuturehealth.ics.uci.edu%2Fabout%2F&format=xml	complete
sli.ics.uci.edu/PmWiki/AvailableActions	complete
support.ics.uci.edu/computing/students	complete
ngs.ics.uci.edu/category/general-updates/page/39	complete
ngs.ics.uci.edu/category/general-updates/page/38	complete
ngs.ics.uci.edu/category/general-updates/page/37	complete
